LTE band,Alias,F dl_low (MHz),F dl_high (MHz),N dl low,N dl high,F ul_low (MHz),F ul_high (MHz),N ul low,N ul high,Arfcn range,Bandwidth (MHz),Duplex spacing (MHz)
1,2100,2110,2170,0,599,1920,1980,18000,18599,600,60,190
2,1900 PCS,1930,1990,600,1199,1850,1910,18600,19199,600,60,80
3,1800+,1805,1880,1200,1949,1710,1785,19200,19949,750,75,95
4,AWS-1,2110,2155,1950,2399,1710,1755,19950,20399,450,45,400
5,850,869,894,2400,2649,824,849,20400,20649,250,25,45
6,UMTS only,875,885,2650,2749,830,840,20650,20749,100,10,45
7,2600,2620,2690,2750,3449,2500,2570,20750,21449,700,70,120
8,900 GSM,925,960,3450,3799,880,915,21450,21799,350,35,45
9,1800,1844.9,1879.9,3800,4149,1749.9,1784.9,21800,22149,350,35,95
10,AWS-1+,2110,2170,4150,4749,1710,1770,22150,22749,600,60,400
11,1500 Lower,1475.9,1495.9,4750,4949,1427.9,1447.9,22750,22949,200,20,48
12,700 a,729,746,5010,5179,699,716,23010,23179,170,17,30
13,700 c,746,756,5180,5279,777,787,23180,23279,100,10,-31
14,700 PS,758,768,5280,5379,788,798,23280,23379,100,10,-30
17,700 b,734,746,5730,5849,704,716,23730,23849,120,12,30
18,800 Lower,860,875,5850,5999,815,830,23850,23999,150,15,45
19,800 Upper,875,890,6000,6149,830,845,24000,24149,150,15,45
20,800 DD,791,821,6150,6449,832,862,24150,24449,300,30,-41
21,1500 Upper,1495.9,1510.9,6450,6599,1447.9,1462.9,24450,24599,150,15,48
22,3500,3510,3590,6600,7399,3410,3490,24600,25399,800,80,100
23,2000 S-band,2180,2200,7500,7699,2000,2020,25500,25699,200,20,180
24,1600 L-band,1525,1559,7700,8039,1626.5,1660.5,25700,26039,340,34,-101.5
25,1900+,1930,1995,8040,8689,1850,1915,26040,26689,650,65,80
26,850+,859,894,8690,9039,814,849,26690,27039,350,35,45
27,800 SMR,852,869,9040,9209,807,824,27040,27209,170,17,45
28,700 APT,758,803,9210,9659,703,748,27210,27659,450,45,55
29,700 d,717,728,9660,9769,,,,,110,11
30,2300 WCS,2350,2360,9770,9869,2305,2315,27660,27759,100,10,45
31,450,462.5,467.5,9870,9919,452.5,457.5,27760,27809,50,5,10
32,1500 L-band,1452,1496,9920,10359,,,,,440,44
33,TD 1900,1900,1920,36000,36199,,,,,200,20
34,TD 2000,2010,2025,36200,36349,,,,,150,15
35,TD PCS Lower,1850,1910,36350,36949,,,,,600,60
36,TD PCS Upper,1930,1990,36950,37549,,,,,600,60
37,TD PCS Center gap,1910,1930,37550,37749,,,,,200,20
38,TD 2600,2570,2620,37750,38249,,,,,500,50
39,TD 1900+,1880,1920,38250,38649,,,,,400,40
40,TD 2300,2300,2400,38650,39649,,,,,1000,100
41,TD 2600+,2496,2690,39650,41589,,,,,1940,194
42,TD 3500,3400,3600,41590,43589,,,,,2000,200
43,TD 3700,3600,3800,43590,45589,,,,,2000,200
44,TD 700,703,803,45590,46589,,,,,1000,100
45,TD 1500,1447,1467,46590,46789,,,,,200,20
46,TD Unlicensed,5150,5925,46790,54539,,,,,7750,775
47,TD V2X,5855,5925,54540,55239,,,,,700,70
48,TD 3600,3550,3700,55240,56739,,,,,1500,150
49,TD 3600r,3550,3700,56740,58239,,,,,1500,150
50,TD 1500+,1432,1517,58240,59089,,,,,850,85
51,TD 1500-,1427,1432,59090,59139,,,,,50,5
52,TD 3300,3300,3400,59140,60139,,,,,1000,100
53,TD 2500,2483.5,2495,60140,60254,,,,,115,11.5
65,2100+,2110,2200,65536,66435,1920,2010,131072,131971,900,90,190
66,AWS-3,2110,2200,66436,67335,1710,1780,131972,132671,900,90/70,400
67,700 EU,738,758,67336,67535,,,,,200,20
68,700 ME,753,783,67536,67835,698,728,132672,132971,300,30,55
69,DL 2500,2570,2620,67836,68335,,,,,500,50
70,AWS-4,1995,2020,68336,68585,1695,1710,132972,133121,250,25/15,300
71,600,617,652,68586,68935,663,698,133122,133471,350,35,-46
72,450 PMR/PAMR,461,466,68936,68985,451,456,133472,133521,50,5,10
73,450 APAC,460,465,68986,69035,450,455,133522,133571,50,5,10
74,L-band,1475,1518,69036,69465,1427,1470,133572,134001,430,43,48
75,DL 1500+,1432,1517,69466,70315,,,,,850,85
76,DL 1500-,1427,1432,70316,70365,,,,,50,5
85,700 a+,728,746,70366,70545,698,716,134002,134181,180,18,30
87,410,420,425,70546,70595,410,415,134182,134231,50,5,10
88,410+,422,427,70596,70645,412,417,134232,134281,50,5,10
252,Unlicensed NII-1,5150,5250,255144,256143,,,,,1000,100
255,Unlicensed NII-3,5725,5850,260894,262143,,,,,1250,125
